code,creator,created_datetime,product_name,countries,energy_100g,fat_100g
3087,openfoodfacts-contributors,2016-09-17T09:17:46Z,Farine de blé noir,en:FR,,
4530,usda-ndb-import,2017-03-09T14:32:37Z,Banana Chips Sweetened (Whole),US,2243,28.57
4559,usda-ndb-import,2017-03-09T14:32:37Z,Peanuts,US,1941,17.86
16087,usda-ndb-import,2017-03-09T10:35:31Z,Organic Salted Nut Mix,US,2540,57.14
16094,usda-ndb-import,2017-03-09T10:34:13Z,Organic Polenta,US,1552,1.43
16100,usda-ndb-import,2017-03-09T10:34:11Z,Breadshop Honey Gone Nuts Granola,US,1933,18.27
16117,usda-ndb-import,2017-03-09T10:35:30Z,Organic Long Grain White Rice,US,1490,
16124,usda-ndb-import,2017-03-09T10:35:11Z,Organic Muesli,US,1833,18.75
16193,usda-ndb-import,2017-03-09T10:34:11Z,Organic Dark Chocolate Minis,US,2406,37.5
16513,usda-ndb-import,2017-03-09T10:34:14Z,Organic Sunflower Oil,US,3586,100
16612,usda-ndb-import,2017-03-09T10:35:31Z,Organic Adzuki Beans,US,1393,1.04
16650,usda-ndb-import,2017-03-09T10:34:28Z,Organic Penne Pasta,US,1540,1.75
16872,usda-ndb-import,2017-03-09T10:34:10Z,Zen Party Mix,US,2230,36.67
16933,usda-ndb-import,2017-03-09T10:34:11Z,Organic Golden Flax Seeds,US,2590,42.86
17497,usda-ndb-import,2017-03-09T10:34:38Z,Organic Spicy Punks,US,2536,48.48
18012,usda-ndb-import,2017-03-09T10:34:12Z,Cinnamon Nut Granola,US,1824,18.18
18050,usda-ndb-import,2017-03-09T09:07:42Z,Organic Hazelnuts,US,2632,60.71
18173,usda-ndb-import,2017-03-09T10:34:27Z,Organic Sweetened Banana Chips,US,2092,26.67
18197,usda-ndb-import,2017-03-09T10:34:12Z,Lotus Organic Brown Jasmine Rice,US,1582,2.22
18227,usda-ndb-import,2017-03-09T10:34:42Z,Organic Oat Groats,US,1096,5.95
18265,usda-ndb-import,2017-03-09T10:35:06Z,Energy Power Mix,US,1464,17.5
18289,usda-ndb-import,2017-03-09T10:34:14Z,Antioxidant Mix - Berries & Chocolate,US,2092,33.33
18319,usda-ndb-import,2017-03-09T10:35:20Z,Organic Quinoa Coconut Granola With Mango,US,1674,10.91
18340,usda-ndb-import,2017-03-09T10:35:21Z,Fire Roasted Hatch Green Chile Almonds,US,2372,50
18357,usda-ndb-import,2017-03-10T09:34:46Z,Peanut Butter Power Chews,US,1954,20
18371,usda-ndb-import,2017-03-09T10:35:13Z,Real Salt Granular,US,,
18388,usda-ndb-import,2017-03-09T10:34:13Z,Organic Unswt Berry Coconut Granola,US,1548,22.22
18395,usda-ndb-import,2017-03-09T10:34:14Z,Roasted Salted Black Pepper Cashews,US,2372,46.67
18401,usda-ndb-import,2017-03-09T10:35:12Z,Thai Curry Roasted Cashews,US,2372,43.33
18418,usda-ndb-import,2017-03-09T10:35:14Z,Wasabi Tamari Almonds,US,2230,46.67
18449,usda-ndb-import,2017-03-09T10:34:43Z,Organic Medium Shredded Coconut,US,2230,30
18456,usda-ndb-import,2017-03-09T10:35:18Z,Organic Red Quinoa,US,1490,6.67
18500,usda-ndb-import,2017-03-09T10:34:10Z,Dark Chocolate Coconut Chews,US,2092,35
18517,usda-ndb-import,2017-03-09T10:35:04Z,Seventh Heaven Organic Trail Mix,US,2092,32.14
