city,case rate,cases,zipcode
Adams-Normandie,4304,353,0
Agoura Hills,1255,262,91301
Alhambra,1910,1656,"91801,91803"
Alsace,3921,488,0
Angeles National Forest,5000,2,0
Angelino Heights,3317,83,0
Arcadia,1170,676,"91006,91007"
Arleta,6110,2100,91331
Artesia,2888,485,90701
Atwater Village,2407,353,90039
Avalon,129,5,90704
Azusa,4019,2011,"91010,91702"
Baldwin Hills,2567,799,90008
Baldwin Park,5105,3919,91706
Bel Air,1376,116,90049
Bell,5472,1988,"90201,90270"
Bell Gardens,5860,2524,90201
Bellflower,3890,3024,90706
Beverly Crest,1437,180,0
Beverly Hills,2520,870,"90210,90211,90212"
Beverlywood,1670,220,0
Boyle Heights,6243,5424,"90033, 90063"
Bradbury,1964,21,"91008,91010"
Brentwood,1412,437,90049
Brookside,1033,6,0
Burbank,2182,2339,"91501, 91502, 91505, 91506"
Cadillac-Corning,2443,174,0
Calabasas,1521,370,91302
Canoga Park,4119,2689,"91303, 91304"
Carson,2491,2338,"90745, 90746, 90810"
Carthay,2047,294,0
Century City,1368,175,90067
Century Palms,5476,1849,90034
Cerritos,1484,743,90703
Chatsworth,2588,959,91311
Cheviot Hills,1298,119,90064
Chinatown,2394,192,90012
Claremont,1568,572,91711
Commerce,5823,761,90040
Compton,5063,5058,"90220, 90221, 90222, 90224"
Country Club Park,3036,460,90019
Covina,3671,1800,"91722, 91723, 91724"
Crenshaw District,2936,406,90008
Crestview,2155,245,0
Cudahy,5746,1399,90201
Culver City,1322,527,"90066, 90230, 90232"
Del Rey,1684,504,90293
Diamond Bar,1389,799,"91765, 91789"
Downey,4727,5401,"90240, 90241, 90242"
Downtown Central,6712,2617,"90012,90013"
Duarte,3279,722,91010
Eagle Rock,2291,907,90041
East Hollywood,2882,844,90029
Echo Park,2595,370,90026
El Monte,4774,5599,"91731, 91732, 91733"
El Segundo,1037,174,90245
El Sereno,4085,1708,90032
Elysian Park,2293,131,0
Elysian Valley,3510,357,90039
Encino,2200,994,"91316, 91436"
Exposition,2616,87,0
Exposition Park,3854,1731,0
Faircrest Heights,1417,51,0
Figueroa Park Square,4655,406,0
Florence-Firestone,6079,2884,90001
Gardena,2489,1526,"90247, 90248, 90249"
Glassell Park,2974,940,90065
Glendale,2650,5472,"91201, 91202, 91203, 91206, 91207, 91208, 91214, 91224"
Glendora,2928,1545,"91740, 91741"
Gramercy Place,2982,321,0
Granada Hills,3047,1773,91344
Green Meadows,5431,1168,0
